Month,Cohort,New_Customers,Churned_Customers,MRR_USD,CAC_USD,LTV_USD
2025-01,Enterprise,12,1,150000,5000,45000
2025-01,SMB,145,12,43500,800,4000
2025-02,Enterprise,15,2,185000,5200,46000
2025-02,SMB,160,18,48000,850,4100
2025-03,Enterprise,10,0,125000,4900,44500
2025-03,SMB,180,22,54000,810,4150
2025-04,Enterprise,18,1,225000,5500,47000
2025-04,SMB,210,25,63000,790,4200
2025-05,Enterprise,22,3,275000,5100,48000
2025-05,SMB,195,30,58500,830,4050
2025-06,Enterprise,25,2,312000,5000,49000
2025-06,SMB,230,28,69000,780,4250